cursor_invoice_date,cursor_description,status,amount_usd,invoice_url,matched_purchase_date,matched_posting_date,card_description,amount_nok_paid,statement_invoice_number,statement_date,source_pdf,match_quality,notes
2025-06-24,,paid,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TWWxtM3F3YTNzc0k0V2tJR1lqeTZobnRVbUN2cE55LDE2NjAwNTIxMA0200P2FrHqmp?s=ap,2025-06-24,2025-06-25,"CURSOR, AI POWERED IDE CURSOR.COM",206.66,47000418010029334012,2025-07-15,47000418010029334012.pdf,exact_amount_match,"Billing-dato fra Cursor er matchet mot korttransaksjon med samme USD-belop."
2025-06-11,Cursor Usage for June 2025 (Mid-Month Invoice),paid,101.68,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TVGszMkVtU21DVWp1bnY2UGtmVmNIeHFQalVXYm44LDE2NjAwNTIxMA0200Jd30irAe?s=ap,2025-06-13,2025-06-14,CURSOR USAGE MID JUN CURSOR.COM,1047.39,47000418010029334012,2025-07-15,47000418010029334012.pdf,exact_amount_match,"Invoice-dato og kortdato avviker, men USD-belopet matcher eksakt."
2025-06-07,Cursor Usage for May 2025,paid,50.17,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TU0pESllyNWFXaVNrdTFWMWswY2tHRUtzeWZFMnh0LDE2NjAwNTIxMA0200tgI5XICW?s=ap,2025-06-07,2025-06-08,CURSOR USAGE MAY CURSOR.COM,518.29,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.39,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUmdodkJRaUVDd1pMQlVTcDh0dEtBTGI3ZUlBTVdNLDE2NjAwNTIxMA0200gpbXm9Ly?s=ap,2025-06-05,2025-06-06,CURSOR USAGE MID JUN CURSOR.COM,1038.17,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.82,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUmVZRjgzeU9FTEFVMXUzQm55QkFEQjdJd2NudGh6LDE2NjAwNTIxMA0200MSVWIcG2?s=ap,2025-06-05,2025-06-06,CURSOR USAGE MID JUN CURSOR.COM,1047.86,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUktLeElpSmhMbzdlQllkZ3VSQkZqZGppMklhd0V3LDE2NjAwNTIxMA0200Je8jDAuR?s=ap,2025-06-05,2025-06-05,CURSOR USAGE MID JUN CURSOR.COM,1040.68,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-04,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.02,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUkhYcWxWWEpQUm9yVDFIWVVzMXVOSjFMUjhkRnpSLDE2NjAwNTIxMA0200izASJeUH?s=ap,2025-06-04,2025-06-05,CURSOR USAGE MID JUN CURSOR.COM,1037.32,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-03,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.19,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUXR2cGRtOVZJRVV1WVlSUkhIVUxndEpzcVNHVmJjLDE2NjAwNTIxMA0200m1WqCyj0?s=ap,2025-06-03,2025-06-04,CURSOR USAGE MID JUN CURSOR.COM,1046.16,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-03,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.26,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUWhNM2w5SnFBUkh0ejNxMWYwVlRKZG9VU0N1Nlp2LDE2NjAwNTIxMA0200gcWcPVin?s=ap,2025-06-03,2025-06-03,CURSOR USAGE MID JUN CURSOR.COM,1046.88,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
2025-06-02,Cursor Usage for June 2025 (Mid-Month Invoice),paid,100.24,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUVlHVENHMlVqYjMxa3U4eEQzVjQ4SWV6MWxQU0w5LDE2NjAwNTIxMA0200H0zQjPO9?s=ap,2025-06-02,2025-06-03,CURSOR USAGE MID JUN CURSOR.COM,1046.68,47000418010029334011,2025-06-13,47000418010029334011.pdf,exact_amount_match,"USD-belopet matcher eksakt mot korttransaksjon."
